paper_id,figure_id,caption,n_candidates,n_gt,Proposed|rank,Proposed|rank_pct,Proposed|hit@3,Proposed|hit@4,Proposed|hit@5,Proposed|hit@6,Proposed|hit@7,Proposed-v2|rank,Proposed-v2|rank_pct,Proposed-v2|hit@3,Proposed-v2|hit@4,Proposed-v2|hit@5,Proposed-v2|hit@6,Proposed-v2|hit@7,Qwen3-VL-Rerank-ImgCap+Link|rank,Qwen3-VL-Rerank-ImgCap+Link|rank_pct,Qwen3-VL-Rerank-ImgCap+Link|hit@3,Qwen3-VL-Rerank-ImgCap+Link|hit@4,Qwen3-VL-Rerank-ImgCap+Link|hit@5,Qwen3-VL-Rerank-ImgCap+Link|hit@6,Qwen3-VL-Rerank-ImgCap+Link|hit@7,Qwen3-VL-Rerank-ImgCap|rank,Qwen3-VL-Rerank-ImgCap|rank_pct,Qwen3-VL-Rerank-ImgCap|hit@3,Qwen3-VL-Rerank-ImgCap|hit@4,Qwen3-VL-Rerank-ImgCap|hit@5,Qwen3-VL-Rerank-ImgCap|hit@6,Qwen3-VL-Rerank-ImgCap|hit@7,Qwen3-VL-Rerank-Img|rank,Qwen3-VL-Rerank-Img|rank_pct,Qwen3-VL-Rerank-Img|hit@3,Qwen3-VL-Rerank-Img|hit@4,Qwen3-VL-Rerank-Img|hit@5,Qwen3-VL-Rerank-Img|hit@6,Qwen3-VL-Rerank-Img|hit@7,Layout-Order|rank,Layout-Order|rank_pct,Layout-Order|hit@3,Layout-Order|hit@4,Layout-Order|hit@5,Layout-Order|hit@6,Layout-Order|hit@7,Caption-BM25|rank,Caption-BM25|rank_pct,Caption-BM25|hit@3,Caption-BM25|hit@4,Caption-BM25|hit@5,Caption-BM25|hit@6,Caption-BM25|hit@7,Caption-Dense-v4|rank,Caption-Dense-v4|rank_pct,Caption-Dense-v4|hit@3,Caption-Dense-v4|hit@4,Caption-Dense-v4|hit@5,Caption-Dense-v4|hit@6,Caption-Dense-v4|hit@7,Zero-shot-CLIP|rank,Zero-shot-CLIP|rank_pct,Zero-shot-CLIP|hit@3,Zero-shot-CLIP|hit@4,Zero-shot-CLIP|hit@5,Zero-shot-CLIP|hit@6,Zero-shot-CLIP|hit@7,Direct+Link|rank,Direct+Link|rank_pct,Direct+Link|hit@3,Direct+Link|hit@4,Direct+Link|hit@5,Direct+Link|hit@6,Direct+Link|hit@7,Direct+Link+Layout|rank,Direct+Link+Layout|rank_pct,Direct+Link+Layout|hit@3,Direct+Link+Layout|hit@4,Direct+Link+Layout|hit@5,Direct+Link+Layout|hit@6,Direct+Link+Layout|hit@7,Direct+Link+Layout+Type|rank,Direct+Link+Layout+Type|rank_pct,Direct+Link+Layout+Type|hit@3,Direct+Link+Layout+Type|hit@4,Direct+Link+Layout+Type|hit@5,Direct+Link+Layout+Type|hit@6,Direct+Link+Layout+Type|hit@7,DirectOnly|rank,DirectOnly|rank_pct,DirectOnly|hit@3,DirectOnly|hit@4,DirectOnly|hit@5,DirectOnly|hit@6,DirectOnly|hit@7,FullClusterAdd|rank,FullClusterAdd|rank_pct,FullClusterAdd|hit@3,FullClusterAdd|hit@4,FullClusterAdd|hit@5,FullClusterAdd|hit@6,FullClusterAdd|hit@7,LG-JSSF|rank,LG-JSSF|rank_pct,LG-JSSF|hit@3,LG-JSSF|hit@4,LG-JSSF|hit@5,LG-JSSF|hit@6,LG-JSSF|hit@7,LG-JSSF+ClusterAdd|rank,LG-JSSF+ClusterAdd|rank_pct,LG-JSSF+ClusterAdd|hit@3,LG-JSSF+ClusterAdd|hit@4,LG-JSSF+ClusterAdd|hit@5,LG-JSSF+ClusterAdd|hit@6,LG-JSSF+ClusterAdd|hit@7,w/o ClusterPrior (Add)|rank,w/o ClusterPrior (Add)|rank_pct,w/o ClusterPrior (Add)|hit@3,w/o ClusterPrior (Add)|hit@4,w/o ClusterPrior (Add)|hit@5,w/o ClusterPrior (Add)|hit@6,w/o ClusterPrior (Add)|hit@7,w/o LocalWindow (Add)|rank,w/o LocalWindow (Add)|rank_pct,w/o LocalWindow (Add)|hit@3,w/o LocalWindow (Add)|hit@4,w/o LocalWindow (Add)|hit@5,w/o LocalWindow (Add)|hit@6,w/o LocalWindow (Add)|hit@7,w/o P_layout (Add)|rank,w/o P_layout (Add)|rank_pct,w/o P_layout (Add)|hit@3,w/o P_layout (Add)|hit@4,w/o P_layout (Add)|hit@5,w/o P_layout (Add)|hit@6,w/o P_layout (Add)|hit@7,w/o P_type (Add)|rank,w/o P_type (Add)|rank_pct,w/o P_type (Add)|hit@3,w/o P_type (Add)|hit@4,w/o P_type (Add)|hit@5,w/o P_type (Add)|hit@6,w/o P_type (Add)|hit@7,w/o S_link (Add)|rank,w/o S_link (Add)|rank_pct,w/o S_link (Add)|hit@3,w/o S_link (Add)|hit@4,w/o S_link (Add)|hit@5,w/o S_link (Add)|hit@6,w/o S_link (Add)|hit@7
2016_G_A028.pdf-6e4c52f4-be1a-43fe-9a4f-f2f6fb479a0c,29714b771ac5c9bbd7139eb2684dd162f2087c7e5db10c188714f0a564f78381,图5.1.1 系统空间坐标系,24,2,12,0.5,False,False,False,False,False,12,0.5,False,False,False,False,False,2,0.0833,True,True,True,True,True,1,0.0417,True,True,True,True,True,2,0.0833,True,True,True,True,True,1,0.0417,True,True,True,True,True,1,0.0417,True,True,True,True,True,20,0.8333,False,False,False,False,False,10,0.4167,False,False,False,False,False,12,0.5,False,False,False,False,False,11,0.4583,False,False,False,False,False,12,0.5,False,False,False,False,False,16,0.6667,False,False,False,False,False,12,0.5,False,False,False,False,False,12,0.5,False,False,False,False,False,12,0.5,False,False,False,False,False,12,0.5,False,False,False,False,False,7,0.2917,False,False,False,False,True,13,0.5417,False,False,False,False,False,11,0.4583,False,False,False,False,False,8,0.3333,False,False,False,False,False
2016_G_A028.pdf-6e4c52f4-be1a-43fe-9a4f-f2f6fb479a0c,c666acc38d85752a433fb6448de40948913eaf210f0f878fd08a935a6dfd1dc5,图5.4.1 搜索算法流程图,24,2,11,0.4583,False,False,False,False,False,4,0.1667,False,True,True,True,True,6,0.25,False,False,False,True,True,18,0.75,False,False,False,False,False,13,0.5417,False,False,False,False,False,7,0.2917,False,False,False,False,True,2,0.0833,True,True,True,True,True,11,0.4583,False,False,False,False,False,16,0.6667,False,False,False,False,False,14,0.5833,False,False,False,False,False,14,0.5833,False,False,False,False,False,11,0.4583,False,False,False,False,False,4,0.1667,False,True,True,True,True,11,0.4583,False,False,False,False,False,11,0.4583,False,False,False,False,False,11,0.4583,False,False,False,False,False,11,0.4583,False,False,False,False,False,1,0.0417,True,True,True,True,True,11,0.4583,False,False,False,False,False,14,0.5833,False,False,False,False,False,1,0.0417,True,True,True,True,True
2016_G_A194.pdf-b86a85b1-ff13-48a6-90bc-0afc1ed6de24,0882057e926fdfd090bdafa61b6066920ec41a123d157058477eadf4db1d5c8e,图1传输节点示意图,15,2,1,0.0667,True,True,True,True,True,1,0.0667,True,True,True,True,True,1,0.0667,True,True,True,True,True,8,0.5333,False,False,False,False,False,1,0.0667,True,True,True,True,True,1,0.0667,True,True,True,True,True,4,0.2667,False,True,True,True,True,5,0.3333,False,False,True,True,True,14,0.9333,False,False,False,False,False,12,0.8,False,False,False,False,False,1,0.0667,True,True,True,True,True,1,0.0667,True,True,True,True,True,4,0.2667,False,True,True,True,True,1,0.0667,True,True,True,True,True,1,0.0667,True,True,True,True,True,1,0.0667,True,True,True,True,True,1,0.0667,True,True,True,True,True,3,0.2,True,True,True,True,True,12,0.8,False,False,False,False,False,1,0.0667,True,True,True,True,True,1,0.0667,True,True,True,True,True
2016_G_A194.pdf-b86a85b1-ff13-48a6-90bc-0afc1ed6de24,50d1a83095504f2d4b3880508fa57ab360268b87299dcb238d743e6892fd3442,图12二分法流程示意图,15,2,10,0.6667,False,False,False,False,False,11,0.7333,False,False,False,False,False,14,0.9333,False,False,False,False,False,15,1.0,False,False,False,False,False,15,1.0,False,False,False,False,False,12,0.8,False,False,False,False,False,3,0.2,True,True,True,True,True,4,0.2667,False,True,True,True,True,9,0.6,False,False,False,False,False,14,0.9333,False,False,False,False,False,15,1.0,False,False,False,False,False,10,0.6667,False,False,False,False,False,14,0.9333,False,False,False,False,False,10,0.6667,False,False,False,False,False,10,0.6667,False,False,False,False,False,10,0.6667,False,False,False,False,False,10,0.6667,False,False,False,False,False,9,0.6,False,False,False,False,False,7,0.4667,False,False,False,False,True,12,0.8,False,False,False,False,False,9,0.6,False,False,False,False,False
2016_G_A433.pdf-ace5f580-0291-4b74-8e8a-3e24514c4563,203b90f2290edf39c716dc6cde768d11c8b03fb4b497f835d8c8f66cde6c6f61,图1 符号说明,13,3,2,0.1538,True,True,True,True,True,2,0.1538,True,True,True,True,True,1,0.0769,True,True,True,True,True,5,0.3846,False,False,True,True,True,1,0.0769,True,True,True,True,True,1,0.0769,True,True,True,True,True,12,0.9231,False,False,False,False,False,11,0.8462,False,False,False,False,False,11,0.8462,False,False,False,False,False,13,1.0,False,False,False,False,False,2,0.1538,True,True,True,True,True,2,0.1538,True,True,True,True,True,8,0.6154,False,False,False,False,False,2,0.1538,True,True,True,True,True,2,0.1538,True,True,True,True,True,2,0.1538,True,True,True,True,True,2,0.1538,True,True,True,True,True,4,0.3077,False,True,True,True,True,13,1.0,False,False,False,False,False,2,0.1538,True,True,True,True,True,3,0.2308,True,True,True,True,True
2016_G_A433.pdf-ace5f580-0291-4b74-8e8a-3e24514c4563,72520c8c4b4b35c3fc76157e66f8e121b6459cdf33e7e170bc2ca947a0155c82,图10 考虑水流力的情况下受力示意图,13,3,7,0.5385,False,False,False,False,True,7,0.5385,False,False,False,False,True,10,0.7692,False,False,False,False,False,11,0.8462,False,False,False,False,False,10,0.7692,False,False,False,False,False,10,0.7692,False,False,False,False,False,8,0.6154,False,False,False,False,False,6,0.4615,False,False,False,True,True,4,0.3077,False,True,True,True,True,2,0.1538,True,True,True,True,True,7,0.5385,False,False,False,False,True,7,0.5385,False,False,False,False,True,2,0.1538,True,True,True,True,True,7,0.5385,False,False,False,False,True,7,0.5385,False,False,False,False,True,7,0.5385,False,False,False,False,True,7,0.5385,False,False,False,False,True,5,0.3846,False,False,True,True,True,2,0.1538,True,True,True,True,True,7,0.5385,False,False,False,False,True,4,0.3077,False,True,True,True,True
2016_G_A433.pdf-ace5f580-0291-4b74-8e8a-3e24514c4563,a01aaa10caae5535e42d59d9f73d511f0d8bf9afe285fdc585e5edecf7dd00df,图13：模型改进下的受力图,13,3,9,0.6923,False,False,False,False,False,10,0.7692,False,False,False,False,False,4,0.3077,False,True,True,True,True,8,0.6154,False,False,False,False,False,2,0.1538,True,True,True,True,True,13,1.0,False,False,False,False,False,7,0.5385,False,False,False,False,True,12,0.9231,False,False,False,False,False,13,1.0,False,False,False,False,False,5,0.3846,False,False,True,True,True,10,0.7692,False,False,False,False,False,10,0.7692,False,False,False,False,False,5,0.3846,False,False,True,True,True,9,0.6923,False,False,False,False,False,10,0.7692,False,False,False,False,False,9,0.6923,False,False,False,False,False,10,0.7692,False,False,False,False,False,8,0.6154,False,False,False,False,False,5,0.3846,False,False,True,True,True,9,0.6923,False,False,False,False,False,8,0.6154,False,False,False,False,False
2016_G_B022.pdf-45c1977b-4052-4367-8a33-85a423730b3d,46e05dd89c89ba225cfc2d8ad8e496c4c31c1f2ce62761a8f1cb154e94f3f315,图2 求解流程图,17,3,2,0.1176,True,True,True,True,True,2,0.1176,True,True,True,True,True,2,0.1176,True,True,True,True,True,10,0.5882,False,False,False,False,False,5,0.2941,False,False,True,True,True,2,0.1176,True,True,True,True,True,7,0.4118,False,False,False,False,True,15,0.8824,False,False,False,False,False,2,0.1176,True,True,True,True,True,4,0.2353,False,True,True,True,True,2,0.1176,True,True,True,True,True,2,0.1176,True,True,True,True,True,10,0.5882,False,False,False,False,False,2,0.1176,True,True,True,True,True,2,0.1176,True,True,True,True,True,2,0.1176,True,True,True,True,True,2,0.1176,True,True,True,True,True,3,0.1765,True,True,True,True,True,1,0.0588,True,True,True,True,True,2,0.1176,True,True,True,True,True,3,0.1765,True,True,True,True,True
2016_G_B022.pdf-45c1977b-4052-4367-8a33-85a423730b3d,4fe8fdf8aa4029e6a78d72f75a4d2c3fb5622e82d221facc9fac68296ab15309,图1小区交通影响指标体系,17,3,1,0.0588,True,True,True,True,True,1,0.0588,True,True,True,True,True,1,0.0588,True,True,True,True,True,1,0.0588,True,True,True,True,True,1,0.0588,True,True,True,True,True,1,0.0588,True,True,True,True,True,1,0.0588,True,True,True,True,True,9,0.5294,False,False,False,False,False,16,0.9412,False,False,False,False,False,3,0.1765,True,True,True,True,True,1,0.0588,True,True,True,True,True,1,0.0588,True,True,True,True,True,8,0.4706,False,False,False,False,False,1,0.0588,True,True,True,True,True,1,0.0588,True,True,True,True,True,1,0.0588,True,True,True,True,True,1,0.0588,True,True,True,True,True,4,0.2353,False,True,True,True,True,2,0.1176,True,True,True,True,True,1,0.0588,True,True,True,True,True,4,0.2353,False,True,True,True,True
2016_G_B022.pdf-45c1977b-4052-4367-8a33-85a423730b3d,ffd57342253e426fd8d4b55154b2af4991d0188d41fcf35f851726fc578f060e,图16敏感性分析结果,17,3,3,0.1765,True,True,True,True,True,8,0.4706,False,False,False,False,False,17,1.0,False,False,False,False,False,17,1.0,False,False,False,False,False,8,0.4706,False,False,False,False,False,16,0.9412,False,False,False,False,False,15,0.8824,False,False,False,False,False,8,0.4706,False,False,False,False,False,17,1.0,False,False,False,False,False,1,0.0588,True,True,True,True,True,4,0.2353,False,True,True,True,True,5,0.2941,False,False,True,True,True,1,0.0588,True,True,True,True,True,4,0.2353,False,True,True,True,True,5,0.2941,False,False,True,True,True,4,0.2353,False,True,True,True,True,5,0.2941,False,False,True,True,True,1,0.0588,True,True,True,True,True,4,0.2353,False,True,True,True,True,3,0.1765,True,True,True,True,True,1,0.0588,True,True,True,True,True
