paper_id,figure_id,caption,n_candidates,n_gt,Proposed|rank,Proposed|rank_pct,Proposed|hit@3,Proposed|hit@4,Proposed|hit@5,Proposed|hit@6,Proposed|hit@7,Proposed-v2|rank,Proposed-v2|rank_pct,Proposed-v2|hit@3,Proposed-v2|hit@4,Proposed-v2|hit@5,Proposed-v2|hit@6,Proposed-v2|hit@7,Qwen3-VL-Rerank-ImgCap+Link|rank,Qwen3-VL-Rerank-ImgCap+Link|rank_pct,Qwen3-VL-Rerank-ImgCap+Link|hit@3,Qwen3-VL-Rerank-ImgCap+Link|hit@4,Qwen3-VL-Rerank-ImgCap+Link|hit@5,Qwen3-VL-Rerank-ImgCap+Link|hit@6,Qwen3-VL-Rerank-ImgCap+Link|hit@7,Qwen3-VL-Rerank-ImgCap|rank,Qwen3-VL-Rerank-ImgCap|rank_pct,Qwen3-VL-Rerank-ImgCap|hit@3,Qwen3-VL-Rerank-ImgCap|hit@4,Qwen3-VL-Rerank-ImgCap|hit@5,Qwen3-VL-Rerank-ImgCap|hit@6,Qwen3-VL-Rerank-ImgCap|hit@7,Qwen3-VL-Rerank-Img|rank,Qwen3-VL-Rerank-Img|rank_pct,Qwen3-VL-Rerank-Img|hit@3,Qwen3-VL-Rerank-Img|hit@4,Qwen3-VL-Rerank-Img|hit@5,Qwen3-VL-Rerank-Img|hit@6,Qwen3-VL-Rerank-Img|hit@7,Layout-Order|rank,Layout-Order|rank_pct,Layout-Order|hit@3,Layout-Order|hit@4,Layout-Order|hit@5,Layout-Order|hit@6,Layout-Order|hit@7,Caption-BM25|rank,Caption-BM25|rank_pct,Caption-BM25|hit@3,Caption-BM25|hit@4,Caption-BM25|hit@5,Caption-BM25|hit@6,Caption-BM25|hit@7,Caption-Dense-v4|rank,Caption-Dense-v4|rank_pct,Caption-Dense-v4|hit@3,Caption-Dense-v4|hit@4,Caption-Dense-v4|hit@5,Caption-Dense-v4|hit@6,Caption-Dense-v4|hit@7,Zero-shot-CLIP|rank,Zero-shot-CLIP|rank_pct,Zero-shot-CLIP|hit@3,Zero-shot-CLIP|hit@4,Zero-shot-CLIP|hit@5,Zero-shot-CLIP|hit@6,Zero-shot-CLIP|hit@7,Direct+Link|rank,Direct+Link|rank_pct,Direct+Link|hit@3,Direct+Link|hit@4,Direct+Link|hit@5,Direct+Link|hit@6,Direct+Link|hit@7,Direct+Link+Layout|rank,Direct+Link+Layout|rank_pct,Direct+Link+Layout|hit@3,Direct+Link+Layout|hit@4,Direct+Link+Layout|hit@5,Direct+Link+Layout|hit@6,Direct+Link+Layout|hit@7,Direct+Link+Layout+Type|rank,Direct+Link+Layout+Type|rank_pct,Direct+Link+Layout+Type|hit@3,Direct+Link+Layout+Type|hit@4,Direct+Link+Layout+Type|hit@5,Direct+Link+Layout+Type|hit@6,Direct+Link+Layout+Type|hit@7,DirectOnly|rank,DirectOnly|rank_pct,DirectOnly|hit@3,DirectOnly|hit@4,DirectOnly|hit@5,DirectOnly|hit@6,DirectOnly|hit@7,FullClusterAdd|rank,FullClusterAdd|rank_pct,FullClusterAdd|hit@3,FullClusterAdd|hit@4,FullClusterAdd|hit@5,FullClusterAdd|hit@6,FullClusterAdd|hit@7,LG-JSSF|rank,LG-JSSF|rank_pct,LG-JSSF|hit@3,LG-JSSF|hit@4,LG-JSSF|hit@5,LG-JSSF|hit@6,LG-JSSF|hit@7,LG-JSSF+ClusterAdd|rank,LG-JSSF+ClusterAdd|rank_pct,LG-JSSF+ClusterAdd|hit@3,LG-JSSF+ClusterAdd|hit@4,LG-JSSF+ClusterAdd|hit@5,LG-JSSF+ClusterAdd|hit@6,LG-JSSF+ClusterAdd|hit@7,w/o ClusterPrior (Add)|rank,w/o ClusterPrior (Add)|rank_pct,w/o ClusterPrior (Add)|hit@3,w/o ClusterPrior (Add)|hit@4,w/o ClusterPrior (Add)|hit@5,w/o ClusterPrior (Add)|hit@6,w/o ClusterPrior (Add)|hit@7,w/o LocalWindow (Add)|rank,w/o LocalWindow (Add)|rank_pct,w/o LocalWindow (Add)|hit@3,w/o LocalWindow (Add)|hit@4,w/o LocalWindow (Add)|hit@5,w/o LocalWindow (Add)|hit@6,w/o LocalWindow (Add)|hit@7,w/o P_layout (Add)|rank,w/o P_layout (Add)|rank_pct,w/o P_layout (Add)|hit@3,w/o P_layout (Add)|hit@4,w/o P_layout (Add)|hit@5,w/o P_layout (Add)|hit@6,w/o P_layout (Add)|hit@7,w/o P_type (Add)|rank,w/o P_type (Add)|rank_pct,w/o P_type (Add)|hit@3,w/o P_type (Add)|hit@4,w/o P_type (Add)|hit@5,w/o P_type (Add)|hit@6,w/o P_type (Add)|hit@7,w/o S_link (Add)|rank,w/o S_link (Add)|rank_pct,w/o S_link (Add)|hit@3,w/o S_link (Add)|hit@4,w/o S_link (Add)|hit@5,w/o S_link (Add)|hit@6,w/o S_link (Add)|hit@7,miss_count,hit_count,figure_index,body_order_rank,explicit_ref_count,p_type,type_category,s_direct,s_link,p_layout,s_direct_pct,s_link_pct,p_layout_pct,cluster_top1_label,Proposed_rank
2016_G_A194.pdf-b86a85b1-ff13-48a6-90bc-0afc1ed6de24,50d1a83095504f2d4b3880508fa57ab360268b87299dcb238d743e6892fd3442,图12二分法流程示意图,15,2,10,0.6667,False,False,False,False,False,11,0.7333,False,False,False,False,False,14,0.9333,False,False,False,False,False,15,1.0,False,False,False,False,False,15,1.0,False,False,False,False,False,12,0.8,False,False,False,False,False,3,0.2,True,True,True,True,True,4,0.2667,False,True,True,True,True,9,0.6,False,False,False,False,False,14,0.9333,False,False,False,False,False,15,1.0,False,False,False,False,False,10,0.6667,False,False,False,False,False,14,0.9333,False,False,False,False,False,10,0.6667,False,False,False,False,False,10,0.6667,False,False,False,False,False,10,0.6667,False,False,False,False,False,10,0.6667,False,False,False,False,False,9,0.6,False,False,False,False,False,7,0.4667,False,False,False,False,True,12,0.8,False,False,False,False,False,9,0.6,False,False,False,False,False,5,0,12,12.0,1,1.5,framework,-0.0019,0.5427,0.2702,0.0667,0.2,0.2,,10
2016_G_A433.pdf-ace5f580-0291-4b74-8e8a-3e24514c4563,72520c8c4b4b35c3fc76157e66f8e121b6459cdf33e7e170bc2ca947a0155c82,图10 考虑水流力的情况下受力示意图,13,3,7,0.5385,False,False,False,False,True,7,0.5385,False,False,False,False,True,10,0.7692,False,False,False,False,False,11,0.8462,False,False,False,False,False,10,0.7692,False,False,False,False,False,10,0.7692,False,False,False,False,False,8,0.6154,False,False,False,False,False,6,0.4615,False,False,False,True,True,4,0.3077,False,True,True,True,True,2,0.1538,True,True,True,True,True,7,0.5385,False,False,False,False,True,7,0.5385,False,False,False,False,True,2,0.1538,True,True,True,True,True,7,0.5385,False,False,False,False,True,7,0.5385,False,False,False,False,True,7,0.5385,False,False,False,False,True,7,0.5385,False,False,False,False,True,5,0.3846,False,False,True,True,True,2,0.1538,True,True,True,True,True,7,0.5385,False,False,False,False,True,4,0.3077,False,True,True,True,True,5,0,10,10.0,2,1.0,schematic,0.0299,1.0,0.2891,0.8462,0.3077,0.2308,,7
2017_G_A156.pdf-526d4bc0-c508-47e0-9181-6bcff011181f,9aca72f0045cd4e335748bc6f73f78ca06570ecf472ce4dc3eb087b6add9a9bd,图12附件3介质最终重建图像,18,3,18,1.0,False,False,False,False,False,8,0.4444,False,False,False,False,False,17,0.9444,False,False,False,False,False,15,0.8333,False,False,False,False,False,18,1.0,False,False,False,False,False,12,0.6667,False,False,False,False,False,10,0.5556,False,False,False,False,False,7,0.3889,False,False,False,False,True,11,0.6111,False,False,False,False,False,2,0.1111,True,True,True,True,True,6,0.3333,False,False,False,True,True,6,0.3333,False,False,False,True,True,3,0.1667,True,True,True,True,True,18,1.0,False,False,False,False,False,6,0.3333,False,False,False,True,True,18,1.0,False,False,False,False,False,6,0.3333,False,False,False,True,True,16,0.8889,False,False,False,False,False,7,0.3889,False,False,False,False,True,18,1.0,False,False,False,False,False,16,0.8889,False,False,False,False,False,5,0,12,12.0,0,1.0,other,0.0618,1.0,0.2702,0.8333,0.5,0.3333,,18
2017_G_B104.pdf-435f7107-40d7-45f1-8d90-183339b8efc2,9f8550f3a2f716509bb19f9846caa0f19a4ddaaa842e0cb353e0b8ee12a2c19a,图10 附件三任务点分布情况,10,3,10,1.0,False,False,False,False,False,8,0.8,False,False,False,False,False,8,0.8,False,False,False,False,False,7,0.7,False,False,False,False,True,10,1.0,False,False,False,False,False,9,0.9,False,False,False,False,False,10,1.0,False,False,False,False,False,10,1.0,False,False,False,False,False,4,0.4,False,True,True,True,True,8,0.8,False,False,False,False,False,8,0.8,False,False,False,False,False,8,0.8,False,False,False,False,False,4,0.4,False,True,True,True,True,10,1.0,False,False,False,False,False,8,0.8,False,False,False,False,False,10,1.0,False,False,False,False,False,8,0.8,False,False,False,False,False,10,1.0,False,False,False,False,False,10,1.0,False,False,False,False,False,10,1.0,False,False,False,False,False,10,1.0,False,False,False,False,False,5,0,10,10.0,1,1.0,result_plot,0.0385,0.4408,0.2891,0.6,0.2,0.1,,10
2017_G_B154.pdf-6b295a37-7f1d-4087-aa6b-498ebc227dfe,1b8e42e424f380b48538ee13a4aceef114ec751c2bfcddc40f1d1730ce0a400b,图14各个任务点处的行动力消耗,24,3,24,1.0,False,False,False,False,False,17,0.7083,False,False,False,False,False,20,0.8333,False,False,False,False,False,19,0.7917,False,False,False,False,False,22,0.9167,False,False,False,False,False,14,0.5833,False,False,False,False,False,15,0.625,False,False,False,False,False,22,0.9167,False,False,False,False,False,23,0.9583,False,False,False,False,False,23,0.9583,False,False,False,False,False,23,0.9583,False,False,False,False,False,23,0.9583,False,False,False,False,False,14,0.5833,False,False,False,False,False,24,1.0,False,False,False,False,False,23,0.9583,False,False,False,False,False,24,1.0,False,False,False,False,False,23,0.9583,False,False,False,False,False,23,0.9583,False,False,False,False,False,24,1.0,False,False,False,False,False,24,1.0,False,False,False,False,False,23,0.9583,False,False,False,False,False,5,0,14,14.0,0,1.0,other,0.008,0.25,0.256,0.4167,0.0417,0.4167,,24
2017_G_B447.pdf-bba1d9f9-3235-4893-aeb8-689cd6ed9376,36432a499cb8c8f3f007f6a9b89259632649f7b5a46efacab3eb203ec706ed48,图33不合理打包（左），合理打包（右）,44,4,38,0.8636,False,False,False,False,False,22,0.5,False,False,False,False,False,24,0.5455,False,False,False,False,False,29,0.6591,False,False,False,False,False,20,0.4545,False,False,False,False,False,28,0.6364,False,False,False,False,False,1,0.0227,True,True,True,True,True,23,0.5227,False,False,False,False,False,2,0.0455,True,True,True,True,True,17,0.3864,False,False,False,False,False,16,0.3636,False,False,False,False,False,11,0.25,False,False,False,False,False,38,0.8636,False,False,False,False,False,37,0.8409,False,False,False,False,False,11,0.25,False,False,False,False,False,37,0.8409,False,False,False,False,False,11,0.25,False,False,False,False,False,40,0.9091,False,False,False,False,False,16,0.3636,False,False,False,False,False,37,0.8409,False,False,False,False,False,41,0.9318,False,False,False,False,False,5,0,33,33.0,1,1.0,other,0.0103,1.0,0.1966,0.1364,0.5909,0.2727,,38
2023_G_A092.pdf-5db87c85-f001-44bb-9cd1-933c32b9efdf,69dce85f840278539689028d0f804d7aca777ae63f7fabc31459a380f1e635dc,图9求解入射遮挡区域的流程图,35,4,10,0.2857,False,False,False,False,False,9,0.2571,False,False,False,False,False,20,0.5714,False,False,False,False,False,15,0.4286,False,False,False,False,False,11,0.3143,False,False,False,False,False,8,0.2286,False,False,False,False,False,14,0.4,False,False,False,False,False,26,0.7429,False,False,False,False,False,35,1.0,False,False,False,False,False,17,0.4857,False,False,False,False,False,15,0.4286,False,False,False,False,False,10,0.2857,False,False,False,False,False,1,0.0286,True,True,True,True,True,9,0.2571,False,False,False,False,False,10,0.2857,False,False,False,False,False,9,0.2571,False,False,False,False,False,10,0.2857,False,False,False,False,False,4,0.1143,False,True,True,True,True,10,0.2857,False,False,False,False,False,14,0.4,False,False,False,False,False,2,0.0571,True,True,True,True,True,5,0,9,9.0,0,1.5,framework,0.0954,0.2978,0.301,0.9714,0.0571,0.7714,,10
2023_G_A127.pdf-c7af97bb-63f5-4e7a-ae28-7f7b3d4f016c,74124e754ae065300fcca3f59fa06980e4fb3cdc4f856cbf240172050f612800,图7:锥形光线离散化示意图,22,7,15,0.6818,False,False,False,False,False,14,0.6364,False,False,False,False,False,11,0.5,False,False,False,False,False,13,0.5909,False,False,False,False,False,9,0.4091,False,False,False,False,False,7,0.3182,False,False,False,False,True,17,0.7727,False,False,False,False,False,12,0.5455,False,False,False,False,False,11,0.5,False,False,False,False,False,18,0.8182,False,False,False,False,False,18,0.8182,False,False,False,False,False,16,0.7273,False,False,False,False,False,8,0.3636,False,False,False,False,False,13,0.5909,False,False,False,False,False,16,0.7273,False,False,False,False,False,13,0.5909,False,False,False,False,False,16,0.7273,False,False,False,False,False,6,0.2727,False,False,False,True,True,15,0.6818,False,False,False,False,False,14,0.6364,False,False,False,False,False,6,0.2727,False,False,False,True,True,5,0,7,7.0,3,1.0,schematic,0.0389,0.2971,0.3333,0.6364,0.0909,0.6818,,15
2023_G_A127.pdf-c7af97bb-63f5-4e7a-ae28-7f7b3d4f016c,ee2a92f626acab83fac21aa39ea618c72b1e169f5b49bd6f67f9e51c122c7362,图5：集热器挡光阴影示意图(左图)与定日镜塔挡损失示意图(右图),22,7,9,0.4091,False,False,False,False,False,10,0.4545,False,False,False,False,False,12,0.5455,False,False,False,False,False,9,0.4091,False,False,False,False,False,12,0.5455,False,False,False,False,False,5,0.2273,False,False,True,True,True,16,0.7273,False,False,False,False,False,8,0.3636,False,False,False,False,False,3,0.1364,True,True,True,True,True,13,0.5909,False,False,False,False,False,9,0.4091,False,False,False,False,False,9,0.4091,False,False,False,False,False,11,0.5,False,False,False,False,False,12,0.5455,False,False,False,False,False,9,0.4091,False,False,False,False,False,12,0.5455,False,False,False,False,False,9,0.4091,False,False,False,False,False,14,0.6364,False,False,False,False,False,12,0.5455,False,False,False,False,False,13,0.5909,False,False,False,False,False,14,0.6364,False,False,False,False,False,5,0,5,5.0,2,1.0,schematic,0.032,0.4251,0.3869,0.5,0.4091,0.7727,,9
2023_G_A175.pdf-8d4a4c05-3206-497f-bcd2-34719146185f,d6b6ff838e4318f619a25f26ce5925954243b7cc823a7274d3ca662699dd5254,图5：光椎束的坐标系（X-Y-Z）,11,5,9,0.8182,False,False,False,False,False,7,0.6364,False,False,False,False,True,11,1.0,False,False,False,False,False,10,0.9091,False,False,False,False,False,8,0.7273,False,False,False,False,False,5,0.4545,False,False,True,True,True,7,0.6364,False,False,False,False,True,10,0.9091,False,False,False,False,False,9,0.8182,False,False,False,False,False,9,0.8182,False,False,False,False,False,9,0.8182,False,False,False,False,False,9,0.8182,False,False,False,False,False,6,0.5455,False,False,False,True,True,9,0.8182,False,False,False,False,False,9,0.8182,False,False,False,False,False,9,0.8182,False,False,False,False,False,9,0.8182,False,False,False,False,False,4,0.3636,False,True,True,True,True,9,0.8182,False,False,False,False,False,9,0.8182,False,False,False,False,False,6,0.5455,False,False,False,True,True,5,0,5,5.0,0,1.0,other,0.0185,0.4466,0.3869,0.4545,0.1818,0.5455,,9
